type,action,index_source,consommable,marque,reference,code_nacres,ancien_prix_conditionnement,ancien_prix_ht_ijm,code_ijm,score_match
solide,catalogue_ijm_ligne_separee,,SDS Ultra pur 99% (Sodium Dodecyl Sulfate) 20% solution 1 litre,EUROMEDEX,C0544,NA25,,75.49,C0544,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,SODIUM ACÉTATE PA 1Kg,PROLABO,C055,NA21,,48.82,C055,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,SODIUM HYDROGÉNOCARBONATE NP 1Kg,PROLABO,C056,NA21,,16.93,C056,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,SODIUM CHLORURE PA 1Kg,PROLABO,C057,NA21,,11.88,C057,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,SODIUM CHLORURE PA 1Kg,EUROMEDEX,C057A,NA21,,15.41,C057A,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,TRI-SODIUM CITRATE NP1Kg,PROLABO,C058,NA21,,23.3,C058,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,SODIUM HYDROXYDE PASTILLES PA 1Kg,PROLABO,C059,NA21,,18.52,C059,
solide,catalogue_ijm_ligne_separee,,SODIUM HYDROXYDE SOLUTION PA 1 litre,PROLABO,C060,NA21,,13.7,C060,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,DI-SODIUM HYDROGENOPHOSPHATE PA 1Kg,VWR,C061,NA21,,33.06,C061,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,SODIUM DIHYDROGÉNOPHOSPHATE 1Kg,PROLABO,C062,NA21,,23.56,C062,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,TRIS BASE Ultra pur 1Kg,EUROMEDEX,C0641,NA21,,76.08,C0641,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,X-GAL 1g,EUROMEDEX,C066A,NA55,,59.12,C066A,
solide,catalogue_ijm_ligne_separee,,ACETONE TECHNIQUE 5 litres,PROLABO,C001,NA02,,10.04,C001,
solide,catalogue_ijm_ligne_separee,,ACETONE NP 1 litre,PROLABO,C002,NA02,,4.91,C002,
solide,catalogue_ijm_ligne_separee,,ACETONITRILE pour HPLC CHROMA 1 litre,PROLABO,C0026,NA03,,11.24,C0026,
solide,catalogue_ijm_ligne_separee,,"ACETONITRILE pour HPLC CHROMA 2,5 litre",PROLABO,C0021,NA03,,22.59,C0021,
solide,catalogue_ijm_ligne_separee,,CHLOROFORME NP 1 litre,PROLABO,C023,NA04,,7.96,C023,
solide,catalogue_ijm_ligne_separee,,DIETHYLE OXYDE (ETHER) NP 1 litre  après justification de l'usage,PROLABO,C024,NA07,,7.28,C024,
solide,catalogue_ijm_ligne_separee,,ETHANOL 95 % Rectapur 5 litres,PROLABO,C027,NA05,,12.84,C027,
solide,catalogue_ijm_ligne_separee,,ETHANOL 70% Rectapur 5 litres,PROLABO,C027A,NA05,,15.14,C027A,
solide,catalogue_ijm_ligne_separee,,ETHANOL ABSOLU MERCK 1 litre,MERCK,C028,NA05,,17.11,C028,
solide,catalogue_ijm_ligne_separee,,ETHANOL ABSOLU NP 1 litre,PROLABO,C029,NA05,,5.35,C029,
solide,catalogue_ijm_ligne_separee,,HEXANE NP 1 litre,PROLABO,C004,NA05,,9.5,C004,
solide,catalogue_ijm_ligne_separee,,METHANOL PA MERCK 1 litre,MERCK,C035,NA05,,9.05,C035,
